gw,element,name,position,team_name,pred_points,actual_points,minutes,in_xi,is_captain,is_vice,chip
31,119,Bryan_Mbeumo,MID,Man Utd,4.252226,2.0,70.0,1,0,0,
31,249,João Pedro_Junqueira de Jesus,FWD,Chelsea,5.7784543,2.0,77.0,1,1,0,
31,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,5.2299767,4.0,90.0,1,0,0,
31,691,Dominic_Calvert-Lewin,FWD,Leeds,4.0115547,2.0,90.0,1,0,0,
31,602,Krisztián_Hegyi,GK,West Ham,0.03946897,0.0,0.0,0,0,0,
31,151,Jan Paul_van Hecke,DEF,Brighton,2.9990158,4.0,90.0,0,0,0,
31,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.16221936,0.0,0.0,0,0,0,
31,163,Jack_Hinshelwood,MID,Brighton,2.9671776,5.0,82.0,0,0,0,
32,67,Đorđe_Petrović,GK,Bournemouth,2.2598023,2.0,90.0,1,0,0,
32,224,Marc_Cucurella Saseta,DEF,Chelsea,3.6803656,0.0,90.0,1,0,0,
32,373,Virgil_van Dijk,DEF,Liverpool,3.5703564,9.0,90.0,1,0,0,
32,151,Jan Paul_van Hecke,DEF,Brighton,3.3721662,5.0,90.0,1,0,0,
32,449,Bruno_Borges Fernandes,MID,Man Utd,6.6338673,4.0,90.0,1,1,0,
32,82,Antoine_Semenyo,MID,Man City,5.914914,2.0,90.0,1,0,1,
32,235,Cole_Palmer,MID,Chelsea,4.9894214,4.0,90.0,1,0,0,
32,515,Morgan_Gibbs-White,MID,Nott'm Forest,4.9129195,2.0,83.0,1,0,0,
32,163,Jack_Hinshelwood,MID,Brighton,3.932021,3.0,74.0,1,0,0,
32,249,João Pedro_Junqueira de Jesus,FWD,Chelsea,4.8125076,2.0,81.0,1,0,0,
32,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.06532,13.0,90.0,1,0,0,
32,602,Krisztián_Hegyi,GK,West Ham,0.03362692,0.0,0.0,0,0,0,
32,72,Marcos_Senesi Barón,DEF,Bournemouth,2.3842778,4.0,90.0,0,0,0,
32,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.15802726,0.0,0.0,0,0,0,
32,691,Dominic_Calvert-Lewin,FWD,Leeds,3.220096,2.0,90.0,0,0,0,
33,67,Đorđe_Petrović,GK,Bournemouth,14.493876799999999,4.0,360.0,1,0,0,BB
33,224,Marc_Cucurella Saseta,DEF,Chelsea,15.266898999999999,6.0,360.0,1,0,0,BB
33,72,Marcos_Senesi Barón,DEF,Bournemouth,14.0392622,12.0,360.0,1,0,0,BB
33,151,Jan Paul_van Hecke,DEF,Brighton,13.79453,24.0,360.0,1,0,0,BB
33,82,Antoine_Semenyo,MID,Man City,23.7233666,10.0,308.0,1,0,1,BB
33,235,Cole_Palmer,MID,Chelsea,21.019279400000002,4.0,180.0,1,0,0,BB
33,84,Marcus_Tavernier,MID,Bournemouth,17.652729,18.0,356.0,1,0,0,BB
33,163,Jack_Hinshelwood,MID,Brighton,15.8784208,20.0,328.0,1,0,0,BB
33,430,Erling_Haaland,FWD,Man City,26.6911714,26.0,360.0,1,1,0,BB
33,249,João Pedro_Junqueira de Jesus,FWD,Chelsea,20.8439414,0.0,0.0,1,0,0,BB
33,691,Dominic_Calvert-Lewin,FWD,Leeds,18.770586,16.0,360.0,1,0,0,BB
33,602,Krisztián_Hegyi,GK,West Ham,0.037100505,0.0,0.0,0,0,0,BB
33,373,Virgil_van Dijk,DEF,Liverpool,2.6496277,8.0,90.0,0,0,0,BB
33,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.16949196,0.0,0.0,0,0,0,BB
33,515,Morgan_Gibbs-White,MID,Nott'm Forest,4.8172784,20.0,88.0,0,0,0,BB
34,253,Dean_Henderson,GK,Crystal Palace,3.1159668,0.0,90.0,1,0,0,
34,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,4.449789,8.0,90.0,1,0,0,
34,6,William_Saliba,DEF,Arsenal,4.0528173,7.0,90.0,1,0,0,
34,373,Virgil_van Dijk,DEF,Liverpool,4.018085,4.0,90.0,1,0,0,
34,449,Bruno_Borges Fernandes,MID,Man Utd,6.400143,5.0,90.0,1,1,0,
34,387,Dominik_Szoboszlai,MID,Liverpool,4.525865,1.0,90.0,1,0,0,
34,515,Morgan_Gibbs-White,MID,Nott'm Forest,4.3433433,13.0,90.0,1,0,0,
34,47,Morgan_Rogers,MID,Aston Villa,4.3340764,2.0,90.0,1,0,0,
34,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.5860715,1.0,90.0,1,0,1,
34,64,Ollie_Watkins,FWD,Aston Villa,4.4295816,2.0,79.0,1,0,0,
34,283,Jean-Philippe_Mateta,FWD,Crystal Palace,3.2688975,2.0,69.0,1,0,0,
34,602,Krisztián_Hegyi,GK,West Ham,0.03068244,0.0,0.0,0,0,0,
34,447,Ayden_Heaven,DEF,Man Utd,2.4565063,2.0,90.0,0,0,0,
34,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.16621199,0.0,0.0,0,0,0,
34,267,Ismaïla_Sarr,MID,Crystal Palace,2.7332273,5.0,90.0,0,0,0,
35,253,Dean_Henderson,GK,Crystal Palace,3.1006296,2.0,90.0,1,0,0,
35,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,5.124733,6.0,90.0,1,0,0,
35,6,William_Saliba,DEF,Arsenal,3.9946806,6.0,90.0,1,0,0,
35,411,Nico_O'Reilly,DEF,Man City,3.8070722,1.0,90.0,1,0,0,
35,47,Morgan_Rogers,MID,Aston Villa,5.196178,1.0,90.0,1,0,1,
35,515,Morgan_Gibbs-White,MID,Nott'm Forest,4.3001614,4.0,20.0,1,0,0,
35,387,Dominik_Szoboszlai,MID,Liverpool,3.484638,13.0,90.0,1,0,0,
35,163,Jack_Hinshelwood,MID,Brighton,3.3207626,7.0,87.0,1,0,0,
35,267,Ismaïla_Sarr,MID,Crystal Palace,3.2514255,1.0,45.0,1,0,0,
35,430,Erling_Haaland,FWD,Man City,6.637031,7.0,90.0,1,1,0,
35,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.836758,6.0,90.0,1,0,0,
35,602,Krisztián_Hegyi,GK,West Ham,0.034132604,0.0,0.0,0,0,0,
35,447,Ayden_Heaven,DEF,Man Utd,2.493891,1.0,90.0,0,0,0,
35,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.17786887,0.0,0.0,0,0,0,
35,283,Jean-Philippe_Mateta,FWD,Crystal Palace,3.0953422,1.0,25.0,0,0,0,
36,253,Dean_Henderson,GK,Crystal Palace,13.3177312,6.0,360.0,1,0,0,TC
36,411,Nico_O'Reilly,DEF,Man City,17.1904774,10.0,180.0,1,0,0,TC
36,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,5.2743244,11.0,90.0,1,0,0,TC
36,6,William_Saliba,DEF,Arsenal,3.6578906,5.0,90.0,1,0,0,TC
36,82,Antoine_Semenyo,MID,Man City,19.6749756,24.0,360.0,1,0,1,TC
36,267,Ismaïla_Sarr,MID,Crystal Palace,15.2040896,16.0,240.0,1,0,0,TC
36,387,Dominik_Szoboszlai,MID,Liverpool,4.819725,2.0,90.0,1,0,0,TC
36,163,Jack_Hinshelwood,MID,Brighton,4.7622795,8.0,87.0,1,0,0,TC
36,47,Morgan_Rogers,MID,Aston Villa,4.399569,2.0,90.0,1,0,0,TC
36,430,Erling_Haaland,FWD,Man City,27.8425368,22.0,180.0,1,1,0,TC
36,283,Jean-Philippe_Mateta,FWD,Crystal Palace,15.3338532,12.0,168.0,1,0,0,TC
36,602,Krisztián_Hegyi,GK,West Ham,0.03163263,0.0,0.0,0,0,0,TC
36,447,Ayden_Heaven,DEF,Man Utd,2.896471,0.0,0.0,0,0,0,TC
36,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.191606,0.0,0.0,0,0,0,TC
36,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,3.344658,2.0,90.0,0,0,0,TC
37,253,Dean_Henderson,GK,Crystal Palace,3.080658,0.0,90.0,1,0,0,
37,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,6.415939,6.0,90.0,1,1,0,
37,6,William_Saliba,DEF,Arsenal,4.1812873,8.0,90.0,1,0,0,
37,411,Nico_O'Reilly,DEF,Man City,3.1060343,2.0,90.0,1,0,0,
37,82,Antoine_Semenyo,MID,Man City,4.419793,1.0,55.0,1,0,0,
37,387,Dominik_Szoboszlai,MID,Liverpool,4.349054,9.0,90.0,1,0,0,
37,47,Morgan_Rogers,MID,Aston Villa,4.048149,12.0,90.0,1,0,0,
37,163,Jack_Hinshelwood,MID,Brighton,3.253937,3.0,81.0,1,0,0,
37,430,Erling_Haaland,FWD,Man City,6.314084,9.0,90.0,1,0,1,
37,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.9563556,2.0,90.0,1,0,0,
37,691,Dominic_Calvert-Lewin,FWD,Leeds,4.437903,7.0,90.0,1,0,0,
37,602,Krisztián_Hegyi,GK,West Ham,0.03717663,0.0,0.0,0,0,0,
37,447,Ayden_Heaven,DEF,Man Utd,1.9149046,0.0,0.0,0,0,0,
37,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.17402232,0.0,0.0,0,0,0,
37,267,Ismaïla_Sarr,MID,Crystal Palace,2.2840753,7.0,90.0,0,0,0,
38,253,Dean_Henderson,GK,Crystal Palace,3.027541,2.0,90.0,1,0,0,
38,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,4.8137455,1.0,45.0,1,0,1,
38,6,William_Saliba,DEF,Arsenal,3.509915,0.0,0.0,1,0,0,
38,411,Nico_O'Reilly,DEF,Man City,3.389807,0.0,0.0,1,0,0,
38,82,Antoine_Semenyo,MID,Man City,4.7590246,6.0,57.0,1,0,0,
38,119,Bryan_Mbeumo,MID,Man Utd,4.7492356,9.0,73.0,1,0,0,
